Direction,time,Rate
Write,2023-6-29-09:19:54,2055.0
Read,2023-6-29-09:19:54,2056.3
Write,2023-6-29-09:19:54,2056.3
Read,2023-6-29-09:19:55,2055.6
Write,2023-6-29-09:19:55,2056.0
Read,2023-6-29-09:19:55,2055.6
Write,2023-6-29-09:19:55,2055.6
Read,2023-6-29-09:19:56,2055.3
Write,2023-6-29-09:19:56,2054.8
Read,2023-6-29-09:19:56,2055.9
Write,2023-6-29-09:19:56,2056.4
Read,2023-6-29-09:19:57,2055.9
Write,2023-6-29-09:19:57,2055.8
Read,2023-6-29-09:19:57,2056.3
Write,2023-6-29-09:19:57,2056.4
Read,2023-6-29-09:19:58,2055.5
Write,2023-6-29-09:19:58,2055.2
Read,2023-6-29-09:19:58,2055.8
Write,2023-6-29-09:19:58,2056.5
Read,2023-6-29-09:19:59,2056.5
Write,2023-6-29-09:19:59,2055.6
Read,2023-6-29-09:19:59,2055.7
Write,2023-6-29-09:19:59,2055.7
Read,2023-6-29-09:20:00,2056.0
Write,2023-6-29-09:20:00,2055.9
Read,2023-6-29-09:20:00,2055.9
Write,2023-6-29-09:20:00,2056.5
Read,2023-6-29-09:20:01,2055.4
Write,2023-6-29-09:20:01,2055.7
Read,2023-6-29-09:20:01,2055.8
Write,2023-6-29-09:20:01,2047.6
Read,2023-6-29-09:20:02,2056.2
Write,2023-6-29-09:20:02,2059.7
Read,2023-6-29-09:20:02,2055.7
Write,2023-6-29-09:20:02,2056.1
Read,2023-6-29-09:20:03,2056.1
Write,2023-6-29-09:20:03,2056.1
Read,2023-6-29-09:20:03,2055.8
Write,2023-6-29-09:20:03,2055.7
Read,2023-6-29-09:20:04,2055.5
Write,2023-6-29-09:20:04,2055.5
Read,2023-6-29-09:20:04,2055.9
Write,2023-6-29-09:20:04,2055.7
Read,2023-6-29-09:20:05,2056.2
Write,2023-6-29-09:20:05,2056.3
Read,2023-6-29-09:20:05,2055.9
Write,2023-6-29-09:20:05,2055.2
Read,2023-6-29-09:20:06,2055.4
Write,2023-6-29-09:20:06,2056.5
Read,2023-6-29-09:20:06,2056.1
Write,2023-6-29-09:20:06,2056.0
Read,2023-6-29-09:20:07,2056.0
Write,2023-6-29-09:20:07,2055.5
Read,2023-6-29-09:20:07,2056.2
Write,2023-6-29-09:20:07,2056.3
Read,2023-6-29-09:20:08,2055.4
Write,2023-6-29-09:20:08,2055.4
Read,2023-6-29-09:20:08,2055.4
Write,2023-6-29-09:20:08,2056.3
Read,2023-6-29-09:20:09,2055.8
Write,2023-6-29-09:20:09,2055.7
Read,2023-6-29-09:20:09,2056.0
Write,2023-6-29-09:20:09,2055.5
Read,2023-6-29-09:20:10,2055.4
Write,2023-6-29-09:20:10,2055.5
Read,2023-6-29-09:20:10,2055.7
Write,2023-6-29-09:20:10,2056.4
Read,2023-6-29-09:20:11,2056.5
Write,2023-6-29-09:20:11,2055.6
Read,2023-6-29-09:20:11,2055.6
Write,2023-6-29-09:20:11,2056.0
Read,2023-6-29-09:20:12,2056.0
Write,2023-6-29-09:20:12,2056.0
Read,2023-6-29-09:20:12,2055.9
Write,2023-6-29-09:20:12,2055.4
Read,2023-6-29-09:20:13,2055.7
Write,2023-6-29-09:20:13,2056.3
Read,2023-6-29-09:20:13,2055.6
Write,2023-6-29-09:20:13,2055.6
Read,2023-6-29-09:20:14,2056.0
Write,2023-6-29-09:20:14,2056.2
Read,2023-6-29-09:20:14,2055.7
Write,2023-6-29-09:20:14,2055.6
Read,2023-6-29-09:20:15,2055.8
Write,2023-6-29-09:20:15,2055.9
Read,2023-6-29-09:20:15,2056.1
Write,2023-6-29-09:20:15,2055.9
Read,2023-6-29-09:20:16,2055.0
Write,2023-6-29-09:20:16,2055.1
Read,2023-6-29-09:20:16,2055.9
Write,2023-6-29-09:20:16,2056.1
Read,2023-6-29-09:20:17,2055.6
Write,2023-6-29-09:20:17,2055.3
Read,2023-6-29-09:20:17,2055.8
Write,2023-6-29-09:20:17,2056.1
Read,2023-6-29-09:20:18,2056.2
Write,2023-6-29-09:20:18,2055.6
Read,2023-6-29-09:20:18,2054.2
Write,2023-6-29-09:20:18,2056.3
Read,2023-6-29-09:20:19,2056.9
Write,2023-6-29-09:20:19,2055.4
Read,2023-6-29-09:20:19,2056.0
Write,2023-6-29-09:20:19,2055.8
Read,2023-6-29-09:20:20,2056.1
Write,2023-6-29-09:20:20,2056.1
Read,2023-6-29-09:20:20,2055.9
Write,2023-6-29-09:20:20,2055.4
Read,2023-6-29-09:20:21,2055.9
Write,2023-6-29-09:20:21,2056.2
Read,2023-6-29-09:20:21,2055.6
Write,2023-6-29-09:20:21,2055.8
Read,2023-6-29-09:20:22,2055.9
Write,2023-6-29-09:20:22,2055.8
Read,2023-6-29-09:20:22,2056.6
Write,2023-6-29-09:20:22,2056.3
Read,2023-6-29-09:20:23,2055.5
Write,2023-6-29-09:20:23,2055.8
Read,2023-6-29-09:20:23,2055.8
Write,2023-6-29-09:20:23,2055.5
Read,2023-6-29-09:20:24,2055.4
Write,2023-6-29-09:20:24,2055.9
Read,2023-6-29-09:20:24,2065.7
Write,2023-6-29-09:20:24,2035.4
Read,2023-6-29-09:20:25,2078.6
Write,2023-6-29-09:20:25,2014.2
Read,2023-6-29-09:20:25,2061.3
Write,2023-6-29-09:20:25,2028.2
Read,2023-6-29-09:20:26,2070.4
Write,2023-6-29-09:20:26,2015.7
Read,2023-6-29-09:20:26,2073.5
Write,2023-6-29-09:20:26,2014.7
Read,2023-6-29-09:20:27,2067.6
Write,2023-6-29-09:20:27,2015.1
Read,2023-6-29-09:20:27,2076.8
Write,2023-6-29-09:20:27,2029.1
Read,2023-6-29-09:20:28,2070.0
Write,2023-6-29-09:20:28,2014.8
Read,2023-6-29-09:20:28,2070.6
Write,2023-6-29-09:20:28,2028.4
Read,2023-6-29-09:20:28,2074.9
Write,2023-6-29-09:20:29,2015.1
Read,2023-6-29-09:20:29,2071.4
Write,2023-6-29-09:20:29,2028.4
Read,2023-6-29-09:20:29,2066.9
Write,2023-6-29-09:20:30,2014.7
Read,2023-6-29-09:20:30,2068.7
Write,2023-6-29-09:20:30,2028.4
Read,2023-6-29-09:20:30,2069.4
Write,2023-6-29-09:20:31,2027.6
Read,2023-6-29-09:20:31,2066.4
Write,2023-6-29-09:20:31,2014.7
Read,2023-6-29-09:20:31,2068.0
Write,2023-6-29-09:20:32,2028.3
Read,2023-6-29-09:20:32,2067.0
Write,2023-6-29-09:20:32,2028.1
Read,2023-6-29-09:20:32,2061.1
Write,2023-6-29-09:20:33,2028.0
Read,2023-6-29-09:20:33,2069.0
Write,2023-6-29-09:20:33,2028.3
Read,2023-6-29-09:20:33,2063.8
Write,2023-6-29-09:20:34,2028.1
Read,2023-6-29-09:20:34,2063.9
Write,2023-6-29-09:20:34,2048.8
Read,2023-6-29-09:20:34,2055.8
Write,2023-6-29-09:20:35,2056.4
Read,2023-6-29-09:20:35,2055.6
Write,2023-6-29-09:20:35,2056.2
Read,2023-6-29-09:20:35,2056.4
Write,2023-6-29-09:20:36,2055.1
Read,2023-6-29-09:20:36,2055.6
Write,2023-6-29-09:20:36,2056.5
Read,2023-6-29-09:20:36,2056.0
Write,2023-6-29-09:20:37,2055.7
Read,2023-6-29-09:20:37,2056.2
Write,2023-6-29-09:20:37,2056.2
Read,2023-6-29-09:20:37,2055.9
Write,2023-6-29-09:20:38,2055.8
Read,2023-6-29-09:20:38,2055.5
Write,2023-6-29-09:20:38,2056.1
Read,2023-6-29-09:20:38,2056.2
Write,2023-6-29-09:20:39,2055.3
Read,2023-6-29-09:20:39,2056.3
Write,2023-6-29-09:20:39,2056.1
Read,2023-6-29-09:20:39,2055.5
Write,2023-6-29-09:20:40,2055.8
Read,2023-6-29-09:20:40,2055.6
Write,2023-6-29-09:20:40,2055.9
Read,2023-6-29-09:20:40,2056.4
Write,2023-6-29-09:20:41,2055.6
Read,2023-6-29-09:20:41,2055.3
Write,2023-6-29-09:20:41,2056.3
Read,2023-6-29-09:20:41,2056.3
Write,2023-6-29-09:20:42,2055.9
Read,2023-6-29-09:20:42,2056.0
Write,2023-6-29-09:20:42,2056.4
Read,2023-6-29-09:20:42,2055.8
Write,2023-6-29-09:20:43,2055.6
Read,2023-6-29-09:20:43,2056.2
Write,2023-6-29-09:20:43,2055.7
Read,2023-6-29-09:20:43,2055.5
Write,2023-6-29-09:20:44,2055.8
Read,2023-6-29-09:20:44,2056.3
Write,2023-6-29-09:20:44,2055.5
Read,2023-6-29-09:20:44,2055.8
Write,2023-6-29-09:20:45,2056.0
Read,2023-6-29-09:20:45,2055.7
Write,2023-6-29-09:20:45,2055.9
Read,2023-6-29-09:20:45,2055.6
Write,2023-6-29-09:20:46,2055.7
Read,2023-6-29-09:20:46,2056.2
Write,2023-6-29-09:20:46,2056.3
Read,2023-6-29-09:20:46,2056.3
Write,2023-6-29-09:20:47,2055.9
Read,2023-6-29-09:20:47,2055.7
Write,2023-6-29-09:20:47,2055.2
Read,2023-6-29-09:20:47,2055.4
Write,2023-6-29-09:20:48,2056.2
Read,2023-6-29-09:20:48,2056.0
Write,2023-6-29-09:20:48,2056.2
Read,2023-6-29-09:20:48,2056.2
Write,2023-6-29-09:20:49,2055.9
Read,2023-6-29-09:20:49,2055.4
Write,2023-6-29-09:20:49,2055.4
Read,2023-6-29-09:20:49,2056.7
Write,2023-6-29-09:20:50,2056.1
Read,2023-6-29-09:20:50,2055.1
Write,2023-6-29-09:20:50,2055.6
Read,2023-6-29-09:20:50,2056.3
Write,2023-6-29-09:20:51,2055.9
Read,2023-6-29-09:20:51,2055.3
Write,2023-6-29-09:20:51,2056.1
Read,2023-6-29-09:20:51,2055.9
Write,2023-6-29-09:20:52,2055.2
Read,2023-6-29-09:20:52,2056.0
Write,2023-6-29-09:20:52,2056.5
Read,2023-6-29-09:20:52,2056.2
Write,2023-6-29-09:20:53,2055.3
Read,2023-6-29-09:20:53,2055.6
Write,2023-6-29-09:20:53,2056.0
Read,2023-6-29-09:20:53,2056.1
Write,2023-6-29-09:20:54,2056.1
Read,2023-6-29-09:20:54,2055.9
Write,2023-6-29-09:20:54,2055.4
Read,2023-6-29-09:20:54,2056.0
Write,2023-6-29-09:20:55,2056.0
Read,2023-6-29-09:20:55,2056.0
Write,2023-6-29-09:20:55,2055.8
Read,2023-6-29-09:20:55,2055.7
Write,2023-6-29-09:20:56,2056.0
Read,2023-6-29-09:20:56,2056.0
Write,2023-6-29-09:20:56,2055.9
Read,2023-6-29-09:20:56,2055.6
Write,2023-6-29-09:20:57,2055.8
Read,2023-6-29-09:20:57,2056.4
Write,2023-6-29-09:20:57,2056.2
Read,2023-6-29-09:20:57,2056.0
Write,2023-6-29-09:20:58,2056.0
Read,2023-6-29-09:20:58,2055.7
Write,2023-6-29-09:20:58,2056.2
Read,2023-6-29-09:20:58,2056.5
Write,2023-6-29-09:20:59,2055.6
Read,2023-6-29-09:20:59,2055.7
Write,2023-6-29-09:20:59,2056.1
Read,2023-6-29-09:20:59,2055.7
Write,2023-6-29-09:21:00,2055.7
Read,2023-6-29-09:21:00,2056.1
Write,2023-6-29-09:21:00,2055.7
Read,2023-6-29-09:21:00,2055.6
Write,2023-6-29-09:21:01,2055.8
Read,2023-6-29-09:21:01,2056.1
Write,2023-6-29-09:21:01,2055.5
Read,2023-6-29-09:21:01,2055.7
Write,2023-6-29-09:21:02,2056.3
Read,2023-6-29-09:21:02,2055.8
Write,2023-6-29-09:21:02,2055.7
Read,2023-6-29-09:21:02,2055.6
Write,2023-6-29-09:21:03,2056.2
Read,2023-6-29-09:21:03,2056.0
Write,2023-6-29-09:21:03,2055.6
Read,2023-6-29-09:21:03,2056.6
Write,2023-6-29-09:21:04,2055.8
Read,2023-6-29-09:21:04,2055.8
Write,2023-6-29-09:21:04,2056.3
Read,2023-6-29-09:21:04,2056.1
Write,2023-6-29-09:21:05,2056.3
Read,2023-6-29-09:21:05,2055.7
Write,2023-6-29-09:21:05,2055.5
Read,2023-6-29-09:21:05,2056.4
Write,2023-6-29-09:21:06,2056.0
Read,2023-6-29-09:21:06,2055.6
Write,2023-6-29-09:21:06,2055.9
Read,2023-6-29-09:21:06,2055.4
Write,2023-6-29-09:21:07,2055.7
Read,2023-6-29-09:21:07,2056.2
Write,2023-6-29-09:21:07,2056.5
Read,2023-6-29-09:21:07,2055.8
Write,2023-6-29-09:21:08,2055.7
Read,2023-6-29-09:21:08,2055.9
Write,2023-6-29-09:21:08,2055.5
Read,2023-6-29-09:21:08,2056.5
Write,2023-6-29-09:21:09,2056.0
Read,2023-6-29-09:21:09,2055.6
Write,2023-6-29-09:21:09,2056.1
Read,2023-6-29-09:21:09,2055.9
Write,2023-6-29-09:21:10,2055.7
Read,2023-6-29-09:21:10,2055.3
Write,2023-6-29-09:21:10,2055.8
Read,2023-6-29-09:21:10,2056.7
Write,2023-6-29-09:21:11,2055.9
Read,2023-6-29-09:21:11,2056.0
Write,2023-6-29-09:21:11,2056.3
Read,2023-6-29-09:21:11,2055.7
Write,2023-6-29-09:21:12,2054.5
Read,2023-6-29-09:21:12,2056.4
Write,2023-6-29-09:21:12,2057.5
Read,2023-6-29-09:21:12,2055.2
Write,2023-6-29-09:21:13,2055.8
Read,2023-6-29-09:21:13,2056.2
Write,2023-6-29-09:21:13,2055.5
Read,2023-6-29-09:21:13,2055.8
Write,2023-6-29-09:21:14,2056.0
Read,2023-6-29-09:21:14,2056.2
Write,2023-6-29-09:21:14,2056.2
Read,2023-6-29-09:21:14,2055.8
Write,2023-6-29-09:21:15,2055.7
Read,2023-6-29-09:21:15,2056.2
Write,2023-6-29-09:21:15,2056.1
Read,2023-6-29-09:21:15,2054.9
Write,2023-6-29-09:21:16,2055.6
Read,2023-6-29-09:21:16,2056.6
Write,2023-6-29-09:21:16,2055.9
Read,2023-6-29-09:21:16,2055.9
Write,2023-6-29-09:21:17,2055.8
Read,2023-6-29-09:21:17,2055.8
Write,2023-6-29-09:21:17,2056.2
Read,2023-6-29-09:21:17,2056.0
Write,2023-6-29-09:21:18,2055.2
Read,2023-6-29-09:21:18,2055.4
Write,2023-6-29-09:21:18,2056.3
Read,2023-6-29-09:21:18,2056.2
Write,2023-6-29-09:21:18,2055.6
Read,2023-6-29-09:21:19,2056.0
Write,2023-6-29-09:21:19,2056.1
Read,2023-6-29-09:21:19,2053.0
Write,2023-6-29-09:21:19,2055.8
Read,2023-6-29-09:21:20,2059.1
Write,2023-6-29-09:21:20,2056.0
Read,2023-6-29-09:21:20,2056.2
Write,2023-6-29-09:21:20,2055.7
Read,2023-6-29-09:21:21,2056.3
Write,2023-6-29-09:21:21,2056.0
Read,2023-6-29-09:21:21,2055.3
Write,2023-6-29-09:21:21,2056.2
Read,2023-6-29-09:21:22,2056.4
Write,2023-6-29-09:21:22,2056.1
Read,2023-6-29-09:21:22,2056.4
Write,2023-6-29-09:21:22,2055.0
Read,2023-6-29-09:21:23,2056.1
Write,2023-6-29-09:21:23,2056.3
Read,2023-6-29-09:21:23,2055.0
Write,2023-6-29-09:21:23,2055.8
Read,2023-6-29-09:21:24,2056.6
Write,2023-6-29-09:21:24,2056.1
Read,2023-6-29-09:21:24,2056.1
Write,2023-6-29-09:21:24,2056.1
Read,2023-6-29-09:21:25,2055.9
Write,2023-6-29-09:21:25,2056.2
Read,2023-6-29-09:21:25,2056.2
Write,2023-6-29-09:21:25,2055.4
Read,2023-6-29-09:21:26,2055.6
Write,2023-6-29-09:21:26,2056.0
Read,2023-6-29-09:21:26,2055.7
Write,2023-6-29-09:21:26,2055.8
Read,2023-6-29-09:21:27,2056.2
Write,2023-6-29-09:21:27,2055.9
Read,2023-6-29-09:21:27,2056.0
Write,2023-6-29-09:21:27,2055.7
Read,2023-6-29-09:21:28,2055.6
Write,2023-6-29-09:21:28,2055.9
Read,2023-6-29-09:21:28,2056.3
Write,2023-6-29-09:21:28,2055.7
Read,2023-6-29-09:21:29,2055.6
Write,2023-6-29-09:21:29,2055.6
Read,2023-6-29-09:21:29,2055.7
Write,2023-6-29-09:21:29,2056.1
Read,2023-6-29-09:21:30,2055.9
Write,2023-6-29-09:21:30,2056.0
Read,2023-6-29-09:21:30,2055.9
Write,2023-6-29-09:21:30,2055.5
Read,2023-6-29-09:21:31,2055.5
Write,2023-6-29-09:21:31,2055.7
Read,2023-6-29-09:21:31,2056.2
Write,2023-6-29-09:21:31,2055.4
Read,2023-6-29-09:21:32,2055.4
Write,2023-6-29-09:21:32,2056.1
Read,2023-6-29-09:21:32,2056.3
Write,2023-6-29-09:21:32,2056.0
Read,2023-6-29-09:21:33,2055.7
Write,2023-6-29-09:21:33,2055.7
Read,2023-6-29-09:21:33,2056.2
Write,2023-6-29-09:21:33,2056.0
Read,2023-6-29-09:21:34,2055.6
Write,2023-6-29-09:21:34,2055.8
Read,2023-6-29-09:21:34,2056.3
Write,2023-6-29-09:21:34,2056.2
Read,2023-6-29-09:21:35,2055.4
Write,2023-6-29-09:21:35,2056.0
Read,2023-6-29-09:21:35,2055.9
Write,2023-6-29-09:21:35,2055.4
Read,2023-6-29-09:21:36,2056.1
Write,2023-6-29-09:21:36,2055.8
Read,2023-6-29-09:21:36,2055.9
Write,2023-6-29-09:21:36,2056.1
Read,2023-6-29-09:21:37,2055.4
Write,2023-6-29-09:21:37,2055.5
Read,2023-6-29-09:21:37,2056.4
Write,2023-6-29-09:21:37,2056.0
Read,2023-6-29-09:21:38,2055.9
Write,2023-6-29-09:21:38,2055.8
Read,2023-6-29-09:21:38,2055.6
Write,2023-6-29-09:21:38,2055.7
Read,2023-6-29-09:21:39,2056.1
Write,2023-6-29-09:21:39,2055.9
Read,2023-6-29-09:21:39,2056.4
Write,2023-6-29-09:21:39,2055.9
Read,2023-6-29-09:21:40,2056.1
Write,2023-6-29-09:21:40,2056.1
Read,2023-6-29-09:21:40,2056.3
Write,2023-6-29-09:21:40,2056.7
Read,2023-6-29-09:21:41,2055.6
Write,2023-6-29-09:21:41,2055.7
Read,2023-6-29-09:21:41,2056.2
Write,2023-6-29-09:21:41,2055.8
Read,2023-6-29-09:21:42,2055.7
Write,2023-6-29-09:21:42,2056.2
Read,2023-6-29-09:21:42,2056.1
Write,2023-6-29-09:21:42,2055.5
Read,2023-6-29-09:21:43,2055.7
Write,2023-6-29-09:21:43,2056.1
Read,2023-6-29-09:21:43,2056.0
Write,2023-6-29-09:21:43,2055.7
Read,2023-6-29-09:21:44,2055.7
Write,2023-6-29-09:21:44,2055.7
Read,2023-6-29-09:21:44,2056.8
Write,2023-6-29-09:21:44,2056.5
Read,2023-6-29-09:21:45,2055.9
Write,2023-6-29-09:21:45,2055.7
Read,2023-6-29-09:21:45,2055.6
Write,2023-6-29-09:21:45,2055.9
Read,2023-6-29-09:21:46,2055.7
Write,2023-6-29-09:21:46,2055.5
Read,2023-6-29-09:21:46,2056.3
Write,2023-6-29-09:21:46,2055.9
Read,2023-6-29-09:21:47,2055.6
Write,2023-6-29-09:21:47,2056.2
Read,2023-6-29-09:21:47,2056.1
Write,2023-6-29-09:21:47,2055.8
Read,2023-6-29-09:21:48,2055.6
Write,2023-6-29-09:21:48,2055.9
Read,2023-6-29-09:21:48,2056.0
Write,2023-6-29-09:21:48,2055.7
Read,2023-6-29-09:21:49,2056.3
Write,2023-6-29-09:21:49,2056.0
Read,2023-6-29-09:21:49,2055.9
Write,2023-6-29-09:21:49,2056.0
Read,2023-6-29-09:21:50,2050.8
Write,2023-6-29-09:21:50,2056.3
Read,2023-6-29-09:21:50,2061.0
Write,2023-6-29-09:21:50,2055.8
Read,2023-6-29-09:21:51,2055.9
Write,2023-6-29-09:21:51,2055.7
Read,2023-6-29-09:21:51,2056.2
Write,2023-6-29-09:21:51,2055.9
Read,2023-6-29-09:21:52,2055.5
Write,2023-6-29-09:21:52,2056.0
Read,2023-6-29-09:21:52,2056.5
Write,2023-6-29-09:21:52,2056.0
Read,2023-6-29-09:21:53,2055.6
Write,2023-6-29-09:21:53,2054.3
Read,2023-6-29-09:21:53,2055.5
Write,2023-6-29-09:21:53,2057.0
Read,2023-6-29-09:21:54,2056.4
Write,2023-6-29-09:21:54,2056.1
Read,2023-6-29-09:21:54,2055.8
Write,2023-6-29-09:21:54,2055.7
Read,2023-6-29-09:21:55,2056.0
Write,2023-6-29-09:21:55,2055.8
Read,2023-6-29-09:21:55,2055.4
Write,2023-6-29-09:21:55,2056.3
Read,2023-6-29-09:21:56,2055.6
Write,2023-6-29-09:21:56,2055.8
Read,2023-6-29-09:21:56,2056.1
Write,2023-6-29-09:21:56,2056.0
Read,2023-6-29-09:21:57,2055.8
Write,2023-6-29-09:21:57,2055.7
Read,2023-6-29-09:21:57,2055.1
Write,2023-6-29-09:21:57,2056.3
Read,2023-6-29-09:21:58,2057.2
Write,2023-6-29-09:21:58,2056.0
Read,2023-6-29-09:21:58,2056.1
Write,2023-6-29-09:21:58,2055.7
Read,2023-6-29-09:21:59,2055.6
Write,2023-6-29-09:21:59,2055.7
Read,2023-6-29-09:21:59,2055.4
Write,2023-6-29-09:21:59,2056.2
Read,2023-6-29-09:22:00,2052.6
Write,2023-6-29-09:22:00,2055.7
Read,2023-6-29-09:22:00,2059.8
Write,2023-6-29-09:22:00,2051.6
Read,2023-6-29-09:22:01,2055.8
Write,2023-6-29-09:22:01,2055.6
Read,2023-6-29-09:22:01,2056.4
Write,2023-6-29-09:22:01,2056.2
Read,2023-6-29-09:22:02,2055.4
Write,2023-6-29-09:22:02,2055.7
Read,2023-6-29-09:22:02,2056.8
Write,2023-6-29-09:22:02,2056.1
Read,2023-6-29-09:22:03,2055.8
Write,2023-6-29-09:22:03,2054.6
Read,2023-6-29-09:22:03,2055.5
Write,2023-6-29-09:22:03,2056.0
Read,2023-6-29-09:22:04,2055.9
Write,2023-6-29-09:22:04,2055.8
Read,2023-6-29-09:22:04,2055.6
Write,2023-6-29-09:22:04,2056.5
Read,2023-6-29-09:22:05,2056.1
Write,2023-6-29-09:22:05,2055.4
Read,2023-6-29-09:22:05,2055.9
Write,2023-6-29-09:22:05,2055.8
Read,2023-6-29-09:22:06,2055.3
Write,2023-6-29-09:22:06,2055.7
Read,2023-6-29-09:22:06,2056.3
Write,2023-6-29-09:22:06,2055.2
Read,2023-6-29-09:22:07,2055.9
Write,2023-6-29-09:22:07,2056.6
Read,2023-6-29-09:22:07,2056.1
Write,2023-6-29-09:22:07,2055.7
Read,2023-6-29-09:22:08,2055.7
Write,2023-6-29-09:22:08,2055.7
Read,2023-6-29-09:22:08,2055.3
Write,2023-6-29-09:22:08,2055.8
Read,2023-6-29-09:22:09,2055.9
Write,2023-6-29-09:22:09,2055.7
Read,2023-6-29-09:22:09,2056.0
Write,2023-6-29-09:22:09,2056.2
Read,2023-6-29-09:22:10,2055.9
Write,2023-6-29-09:22:10,2055.2
Read,2023-6-29-09:22:10,2055.9
Write,2023-6-29-09:22:10,2055.6
Read,2023-6-29-09:22:11,2055.0
Write,2023-6-29-09:22:11,2056.4
Read,2023-6-29-09:22:11,2056.0
Write,2023-6-29-09:22:11,2055.6
Read,2023-6-29-09:22:12,2055.8
Write,2023-6-29-09:22:12,2056.0
Read,2023-6-29-09:22:12,2055.3
Write,2023-6-29-09:22:12,2055.0
Read,2023-6-29-09:22:13,2056.4
Write,2023-6-29-09:22:13,2056.2
Read,2023-6-29-09:22:13,2056.0
Write,2023-6-29-09:22:13,2056.5
Read,2023-6-29-09:22:14,2055.4
Write,2023-6-29-09:22:14,2055.2
Read,2023-6-29-09:22:14,2056.5
Write,2023-6-29-09:22:14,2056.4
Read,2023-6-29-09:22:15,2056.0
Write,2023-6-29-09:22:15,2055.5
Read,2023-6-29-09:22:15,2055.5
Write,2023-6-29-09:22:15,2055.6
Read,2023-6-29-09:22:16,2055.8
Write,2023-6-29-09:22:16,2056.2
Read,2023-6-29-09:22:16,2055.1
Write,2023-6-29-09:22:16,2055.1
Read,2023-6-29-09:22:17,2056.0
Write,2023-6-29-09:22:17,2055.6
Read,2023-6-29-09:22:17,2056.1
Write,2023-6-29-09:22:17,2055.9
Read,2023-6-29-09:22:18,2055.5
Write,2023-6-29-09:22:18,2055.5
Read,2023-6-29-09:22:18,2055.7
Write,2023-6-29-09:22:18,2056.6
Read,2023-6-29-09:22:19,2055.7
Write,2023-6-29-09:22:19,2055.1
Read,2023-6-29-09:22:19,2056.9
Write,2023-6-29-09:22:19,2056.1
Read,2023-6-29-09:22:20,2054.9
Write,2023-6-29-09:22:20,2056.1
Read,2023-6-29-09:22:20,2055.6
Write,2023-6-29-09:22:20,2055.9
Read,2023-6-29-09:22:21,2056.1
Write,2023-6-29-09:22:21,2055.4
Read,2023-6-29-09:22:21,2055.3
Write,2023-6-29-09:22:21,2056.2
Read,2023-6-29-09:22:22,2056.9
Write,2023-6-29-09:22:22,2055.0
Read,2023-6-29-09:22:22,2055.3
Write,2023-6-29-09:22:22,2056.1
Read,2023-6-29-09:22:23,2056.0
Write,2023-6-29-09:22:23,2055.7
Read,2023-6-29-09:22:23,2055.5
Write,2023-6-29-09:22:23,2054.7
Read,2023-6-29-09:22:24,2056.0
Write,2023-6-29-09:22:24,2056.1
Read,2023-6-29-09:22:24,2055.6
Write,2023-6-29-09:22:24,2055.8
Read,2023-6-29-09:22:25,2055.6
Write,2023-6-29-09:22:25,2055.6
Read,2023-6-29-09:22:25,2056.2
Write,2023-6-29-09:22:25,2056.1
Read,2023-6-29-09:22:26,2055.5
Write,2023-6-29-09:22:26,2055.2
Read,2023-6-29-09:22:26,2056.0
Write,2023-6-29-09:22:26,2056.0
Read,2023-6-29-09:22:26,2055.7
Write,2023-6-29-09:22:27,2056.0
Read,2023-6-29-09:22:27,2055.7
Write,2023-6-29-09:22:27,2055.8
Read,2023-6-29-09:22:27,2056.2
Write,2023-6-29-09:22:28,2055.4
Read,2023-6-29-09:22:28,2056.1
Write,2023-6-29-09:22:28,2056.0
Read,2023-6-29-09:22:28,2055.3
Write,2023-6-29-09:22:29,2055.7
Read,2023-6-29-09:22:29,2055.9
Write,2023-6-29-09:22:29,2055.6
Read,2023-6-29-09:22:29,2056.5
Write,2023-6-29-09:22:30,2056.4
Read,2023-6-29-09:22:30,2055.4
Write,2023-6-29-09:22:30,2055.3
Read,2023-6-29-09:22:30,2056.0
Write,2023-6-29-09:22:31,2056.3
Read,2023-6-29-09:22:31,2055.5
Write,2023-6-29-09:22:31,2055.4
Read,2023-6-29-09:22:31,2055.8
Write,2023-6-29-09:22:32,2055.8
Read,2023-6-29-09:22:32,2056.4
Write,2023-6-29-09:22:32,2055.9
Read,2023-6-29-09:22:32,2055.5
Write,2023-6-29-09:22:33,2055.7
Read,2023-6-29-09:22:33,2056.0
Write,2023-6-29-09:22:33,2055.9
Read,2023-6-29-09:22:33,2055.7
Write,2023-6-29-09:22:34,2056.0
Read,2023-6-29-09:22:34,2056.0
Write,2023-6-29-09:22:34,2055.6
Read,2023-6-29-09:22:34,2055.9
Write,2023-6-29-09:22:35,2055.9
Read,2023-6-29-09:22:35,2056.2
Write,2023-6-29-09:22:35,2055.9
Read,2023-6-29-09:22:35,2056.2
Write,2023-6-29-09:22:36,2056.3
Read,2023-6-29-09:22:36,2055.4
Write,2023-6-29-09:22:36,2055.9
Read,2023-6-29-09:22:36,2055.5
Write,2023-6-29-09:22:37,2055.3
Read,2023-6-29-09:22:37,2055.8
Write,2023-6-29-09:22:37,2056.0
Read,2023-6-29-09:22:37,2055.8
Write,2023-6-29-09:22:38,2055.3
Read,2023-6-29-09:22:38,2056.6
Write,2023-6-29-09:22:38,2056.5
Read,2023-6-29-09:22:38,2055.8
Write,2023-6-29-09:22:39,2055.9
Read,2023-6-29-09:22:39,2055.8
Write,2023-6-29-09:22:39,2055.6
Read,2023-6-29-09:22:39,2055.7
