,Direction,time,Rate
4460,Read,2023-6-29-09:25:19,2056.3
4461,Write,2023-6-29-09:25:20,2056.4
4462,Read,2023-6-29-09:25:20,2055.7
4463,Write,2023-6-29-09:25:20,2056.0
4464,Read,2023-6-29-09:25:20,2055.8
4465,Write,2023-6-29-09:25:21,2055.4
4466,Read,2023-6-29-09:25:21,2055.9
4467,Write,2023-6-29-09:25:21,2055.7
4468,Read,2023-6-29-09:25:21,2056.0
4469,Write,2023-6-29-09:25:22,2055.7
4470,Read,2023-6-29-09:25:22,2056.3
4471,Write,2023-6-29-09:25:22,2056.3
4472,Read,2023-6-29-09:25:22,2055.9
4473,Write,2023-6-29-09:25:23,2055.8
4474,Read,2023-6-29-09:25:23,2055.7
4475,Write,2023-6-29-09:25:23,2055.4
4476,Read,2023-6-29-09:25:23,2055.3
4477,Write,2023-6-29-09:25:24,2056.1
4478,Read,2023-6-29-09:25:24,2056.1
4479,Write,2023-6-29-09:25:24,2055.5
4480,Read,2023-6-29-09:25:24,2055.7
4481,Write,2023-6-29-09:25:25,2056.4
4482,Read,2023-6-29-09:25:25,2056.6
4483,Write,2023-6-29-09:25:25,2055.5
4484,Read,2023-6-29-09:25:25,2055.9
4485,Write,2023-6-29-09:25:26,2056.3
4486,Read,2023-6-29-09:25:26,2055.4
4487,Write,2023-6-29-09:25:26,2055.5
4488,Read,2023-6-29-09:25:26,2056.3
4489,Write,2023-6-29-09:25:27,2055.9
4490,Read,2023-6-29-09:25:27,2056.3
4491,Write,2023-6-29-09:25:27,2056.0
4492,Read,2023-6-29-09:25:27,2056.0
4493,Write,2023-6-29-09:25:28,2055.6
4494,Read,2023-6-29-09:25:28,2055.4
4495,Write,2023-6-29-09:25:28,2055.8
4496,Read,2023-6-29-09:25:28,2055.4
4497,Write,2023-6-29-09:25:29,2055.8
4498,Read,2023-6-29-09:25:29,2056.1
4499,Write,2023-6-29-09:25:29,2055.9
4500,Read,2023-6-29-09:25:29,2055.4
4501,Write,2023-6-29-09:25:30,2055.8
4502,Read,2023-6-29-09:25:30,2056.1
4503,Write,2023-6-29-09:25:30,2056.0
4504,Read,2023-6-29-09:25:30,2056.0
4505,Write,2023-6-29-09:25:31,2055.4
4506,Read,2023-6-29-09:25:31,2056.1
4507,Write,2023-6-29-09:25:31,2056.2
4508,Read,2023-6-29-09:25:31,2055.8
4509,Write,2023-6-29-09:25:31,2055.2
4510,Read,2023-6-29-09:25:32,2055.8
4511,Write,2023-6-29-09:25:32,2056.0
4512,Read,2023-6-29-09:25:32,2056.0
4513,Write,2023-6-29-09:25:32,2055.5
4514,Read,2023-6-29-09:25:33,2055.5
4515,Write,2023-6-29-09:25:33,2056.3
4516,Read,2023-6-29-09:25:33,2055.9
4517,Write,2023-6-29-09:25:33,2055.4
4518,Read,2023-6-29-09:25:34,2056.3
4519,Write,2023-6-29-09:25:34,2055.5
4520,Read,2023-6-29-09:25:34,2055.3
4521,Write,2023-6-29-09:25:34,2056.2
4522,Read,2023-6-29-09:25:35,2055.4
4523,Write,2023-6-29-09:25:35,2055.7
4524,Read,2023-6-29-09:25:35,2056.2
4525,Write,2023-6-29-09:25:35,2056.2
4526,Read,2023-6-29-09:25:36,2055.1
4527,Write,2023-6-29-09:25:36,2055.6
4528,Read,2023-6-29-09:25:36,2056.4
4529,Write,2023-6-29-09:25:36,2055.9
4530,Read,2023-6-29-09:25:37,2055.7
4531,Write,2023-6-29-09:25:37,2055.7
4532,Read,2023-6-29-09:25:37,2056.0
4533,Write,2023-6-29-09:25:37,2055.5
4534,Read,2023-6-29-09:25:38,2055.7
4535,Write,2023-6-29-09:25:38,2056.0
4536,Read,2023-6-29-09:25:38,2055.3
4537,Write,2023-6-29-09:25:38,2055.8
4538,Read,2023-6-29-09:25:39,2056.1
4539,Write,2023-6-29-09:25:39,2055.7
4540,Read,2023-6-29-09:25:39,2055.8
4541,Write,2023-6-29-09:25:39,2055.9
4542,Read,2023-6-29-09:25:40,2056.2
4543,Write,2023-6-29-09:25:40,2056.0
4544,Read,2023-6-29-09:25:40,2055.8
4545,Write,2023-6-29-09:25:40,2056.0
4546,Read,2023-6-29-09:25:41,2055.8
4547,Write,2023-6-29-09:25:41,2055.5
4548,Read,2023-6-29-09:25:41,2055.6
4549,Write,2023-6-29-09:25:41,2055.6
4550,Read,2023-6-29-09:25:42,2055.6
4551,Write,2023-6-29-09:25:42,2056.1
4552,Read,2023-6-29-09:25:42,2056.5
4553,Write,2023-6-29-09:25:42,2055.6
4554,Read,2023-6-29-09:25:43,2055.8
4555,Write,2023-6-29-09:25:43,2055.5
4556,Read,2023-6-29-09:25:43,2056.0
4557,Write,2023-6-29-09:25:43,2056.5
4558,Read,2023-6-29-09:25:44,2055.5
4559,Write,2023-6-29-09:25:44,2055.2
4560,Read,2023-6-29-09:25:44,2055.9
4561,Write,2023-6-29-09:25:44,2055.7
4562,Read,2023-6-29-09:25:45,2055.7
4563,Write,2023-6-29-09:25:45,2056.0
4564,Read,2023-6-29-09:25:45,2055.8
4565,Write,2023-6-29-09:25:45,2056.1
4566,Read,2023-6-29-09:25:46,2056.0
4567,Write,2023-6-29-09:25:46,2055.8
4568,Read,2023-6-29-09:25:46,2055.7
4569,Write,2023-6-29-09:25:46,2055.5
4570,Read,2023-6-29-09:25:47,2055.9
4571,Write,2023-6-29-09:25:47,2056.0
4572,Read,2023-6-29-09:25:47,2055.6
4573,Write,2023-6-29-09:25:47,2055.6
4574,Read,2023-6-29-09:25:48,2055.6
4575,Write,2023-6-29-09:25:48,2055.4
4576,Read,2023-6-29-09:25:48,2056.0
4577,Write,2023-6-29-09:25:48,2056.6
4578,Read,2023-6-29-09:25:49,2055.6
4579,Write,2023-6-29-09:25:49,2055.3
4580,Read,2023-6-29-09:25:49,2056.0
4581,Write,2023-6-29-09:25:49,2055.7
4582,Read,2023-6-29-09:25:50,2055.8
4583,Write,2023-6-29-09:25:50,2056.5
4584,Read,2023-6-29-09:25:50,2055.7
4585,Write,2023-6-29-09:25:50,2055.6
4586,Read,2023-6-29-09:25:51,2055.3
4587,Write,2023-6-29-09:25:51,2056.0
4588,Read,2023-6-29-09:25:51,2056.1
4589,Write,2023-6-29-09:25:51,2055.4
4590,Read,2023-6-29-09:25:52,2056.2
4591,Write,2023-6-29-09:25:52,2055.9
4592,Read,2023-6-29-09:25:52,2055.9
4593,Write,2023-6-29-09:25:52,2055.8
4594,Read,2023-6-29-09:25:53,2055.8
4595,Write,2023-6-29-09:25:53,2055.8
4596,Read,2023-6-29-09:25:53,2055.8
4597,Write,2023-6-29-09:25:53,2055.4
4598,Read,2023-6-29-09:25:54,2055.3
4599,Write,2023-6-29-09:25:54,2055.6
4600,Read,2023-6-29-09:25:54,2055.8
4601,Write,2023-6-29-09:25:54,2056.1
4602,Read,2023-6-29-09:25:55,2055.9
4603,Write,2023-6-29-09:25:55,2055.5
4604,Read,2023-6-29-09:25:55,2056.5
4605,Write,2023-6-29-09:25:55,2055.9
4606,Read,2023-6-29-09:25:56,2055.8
4607,Write,2023-6-29-09:25:56,2056.2
4608,Read,2023-6-29-09:25:56,2055.2
4609,Write,2023-6-29-09:25:56,2055.3
4610,Read,2023-6-29-09:25:57,2056.1
4611,Write,2023-6-29-09:25:57,2055.6
4612,Read,2023-6-29-09:25:57,2055.2
4613,Write,2023-6-29-09:25:57,2056.0
4614,Read,2023-6-29-09:25:58,2051.5
4615,Write,2023-6-29-09:25:58,2055.4
4616,Read,2023-6-29-09:25:58,2060.3
4617,Write,2023-6-29-09:25:58,2056.4
4618,Read,2023-6-29-09:25:59,2055.6
4619,Write,2023-6-29-09:25:59,2055.6
4620,Read,2023-6-29-09:25:59,2055.8
4621,Write,2023-6-29-09:25:59,2055.6
4622,Read,2023-6-29-09:26:00,2055.8
4623,Write,2023-6-29-09:26:00,2056.0
4624,Read,2023-6-29-09:26:00,2056.4
4625,Write,2023-6-29-09:26:00,2055.8
4626,Read,2023-6-29-09:26:01,2055.8
4627,Write,2023-6-29-09:26:01,2055.9
4628,Read,2023-6-29-09:26:01,2054.9
4629,Write,2023-6-29-09:26:01,2055.2
4630,Read,2023-6-29-09:26:02,2056.8
4631,Write,2023-6-29-09:26:02,2056.4
4632,Read,2023-6-29-09:26:02,2055.7
4633,Write,2023-6-29-09:26:02,2055.8
4634,Read,2023-6-29-09:26:03,2056.2
4635,Write,2023-6-29-09:26:03,2055.5
4636,Read,2023-6-29-09:26:03,2055.8
4637,Write,2023-6-29-09:26:03,2056.1
4638,Read,2023-6-29-09:26:04,2055.7
4639,Write,2023-6-29-09:26:04,2055.4
4640,Read,2023-6-29-09:26:04,2055.8
4641,Write,2023-6-29-09:26:04,2056.2
4642,Read,2023-6-29-09:26:05,2056.2
4643,Write,2023-6-29-09:26:05,2055.8
4644,Read,2023-6-29-09:26:05,2055.7
4645,Write,2023-6-29-09:26:05,2055.6
4646,Read,2023-6-29-09:26:06,2055.9
4647,Write,2023-6-29-09:26:06,2055.8
4648,Read,2023-6-29-09:26:06,2055.7
4649,Write,2023-6-29-09:26:06,2056.2
4650,Read,2023-6-29-09:26:07,2055.5
4651,Write,2023-6-29-09:26:07,2055.2
4652,Read,2023-6-29-09:26:07,2056.5
4653,Write,2023-6-29-09:26:07,2056.2
4654,Read,2023-6-29-09:26:08,2054.5
4655,Write,2023-6-29-09:26:08,2055.4
4656,Read,2023-6-29-09:26:08,2056.9
4657,Write,2023-6-29-09:26:08,2055.9
4658,Read,2023-6-29-09:26:09,2055.5
4659,Write,2023-6-29-09:26:09,2055.9
4660,Read,2023-6-29-09:26:09,2055.9
4661,Write,2023-6-29-09:26:09,2056.1
4662,Read,2023-6-29-09:26:10,2056.2
4663,Write,2023-6-29-09:26:10,2055.3
4664,Read,2023-6-29-09:26:10,2055.4
4665,Write,2023-6-29-09:26:10,2056.0
4666,Read,2023-6-29-09:26:11,2056.4
4667,Write,2023-6-29-09:26:11,2056.1
4668,Read,2023-6-29-09:26:11,2055.8
4669,Write,2023-6-29-09:26:11,2055.7
4670,Read,2023-6-29-09:26:12,2055.7
4671,Write,2023-6-29-09:26:12,2055.6
4672,Read,2023-6-29-09:26:12,2055.5
4673,Write,2023-6-29-09:26:12,2055.5
4674,Read,2023-6-29-09:26:13,2055.7
4675,Write,2023-6-29-09:26:13,2055.6
4676,Read,2023-6-29-09:26:13,2055.1
4677,Write,2023-6-29-09:26:13,2056.3
4678,Read,2023-6-29-09:26:14,2055.6
4679,Write,2023-6-29-09:26:14,2055.4
4680,Read,2023-6-29-09:26:14,2056.0
4681,Write,2023-6-29-09:26:14,2055.8
4682,Read,2023-6-29-09:26:15,2055.3
4683,Write,2023-6-29-09:26:15,2055.7
4684,Read,2023-6-29-09:26:15,2056.3
4685,Write,2023-6-29-09:26:15,2056.2
4686,Read,2023-6-29-09:26:16,2055.5
4687,Write,2023-6-29-09:26:16,2055.2
4688,Read,2023-6-29-09:26:16,2055.2
4689,Write,2023-6-29-09:26:16,2055.8
4690,Read,2023-6-29-09:26:17,2056.0
4691,Write,2023-6-29-09:26:17,2055.4
4692,Read,2023-6-29-09:26:17,2056.0
4693,Write,2023-6-29-09:26:17,2056.3
4694,Read,2023-6-29-09:26:18,2055.4
4695,Write,2023-6-29-09:26:18,2055.7
4696,Read,2023-6-29-09:26:18,2056.2
4697,Write,2023-6-29-09:26:18,2056.1
4698,Read,2023-6-29-09:26:19,2055.8
4699,Write,2023-6-29-09:26:19,2055.6
4700,Read,2023-6-29-09:26:19,2055.7
4701,Write,2023-6-29-09:26:19,2055.6
4702,Read,2023-6-29-09:26:20,2056.1
4703,Write,2023-6-29-09:26:20,2056.0
4704,Read,2023-6-29-09:26:20,2055.4
4705,Write,2023-6-29-09:26:20,2055.3
4706,Read,2023-6-29-09:26:21,2055.2
4707,Write,2023-6-29-09:26:21,2055.7
4708,Read,2023-6-29-09:26:21,2056.1
4709,Write,2023-6-29-09:26:21,2056.0
4710,Read,2023-6-29-09:26:22,2055.8
4711,Write,2023-6-29-09:26:22,2055.6
4712,Read,2023-6-29-09:26:22,2055.7
4713,Write,2023-6-29-09:26:22,2055.6
4714,Read,2023-6-29-09:26:23,2056.0
4715,Write,2023-6-29-09:26:23,2056.5
4716,Read,2023-6-29-09:26:23,2056.2
4717,Write,2023-6-29-09:26:23,2055.1
4718,Read,2023-6-29-09:26:24,2055.5
4719,Write,2023-6-29-09:26:24,2056.0
4720,Read,2023-6-29-09:26:24,2056.2
4721,Write,2023-6-29-09:26:24,2056.0
4722,Read,2023-6-29-09:26:25,2055.5
4723,Write,2023-6-29-09:26:25,2055.4
4724,Read,2023-6-29-09:26:25,2056.5
4725,Write,2023-6-29-09:26:25,2055.9
4726,Read,2023-6-29-09:26:26,2055.3
4727,Write,2023-6-29-09:26:26,2056.2
4728,Read,2023-6-29-09:26:26,2055.6
4729,Write,2023-6-29-09:26:26,2055.4
4730,Read,2023-6-29-09:26:27,2056.4
4731,Write,2023-6-29-09:26:27,2056.1
4732,Read,2023-6-29-09:26:27,2056.2
4733,Write,2023-6-29-09:26:27,2055.7
4734,Read,2023-6-29-09:26:28,2055.0
4735,Write,2023-6-29-09:26:28,2055.8
4736,Read,2023-6-29-09:26:28,2056.3
4737,Write,2023-6-29-09:26:28,2056.4
4738,Read,2023-6-29-09:26:29,2055.8
4739,Write,2023-6-29-09:26:29,2055.2
4740,Read,2023-6-29-09:26:29,2055.2
4741,Write,2023-6-29-09:26:29,2055.7
4742,Read,2023-6-29-09:26:30,2055.5
4743,Write,2023-6-29-09:26:30,2055.7
4744,Read,2023-6-29-09:26:30,2056.1
4745,Write,2023-6-29-09:26:30,2055.7
4746,Read,2023-6-29-09:26:31,2055.7
4747,Write,2023-6-29-09:26:31,2055.8
4748,Read,2023-6-29-09:26:31,2056.3
4749,Write,2023-6-29-09:26:31,2056.4
4750,Read,2023-6-29-09:26:32,2055.1
4751,Write,2023-6-29-09:26:32,2054.9
4752,Read,2023-6-29-09:26:32,2055.9
4753,Write,2023-6-29-09:26:32,2056.2
4754,Read,2023-6-29-09:26:33,2056.0
4755,Write,2023-6-29-09:26:33,2055.8
4756,Read,2023-6-29-09:26:33,2056.2
4757,Write,2023-6-29-09:26:33,2056.4
4758,Read,2023-6-29-09:26:34,2055.8
4759,Write,2023-6-29-09:26:34,2055.0
4760,Read,2023-6-29-09:26:34,2055.2
4761,Write,2023-6-29-09:26:34,2056.0
4762,Read,2023-6-29-09:26:35,2055.9
4763,Write,2023-6-29-09:26:35,2056.1
4764,Read,2023-6-29-09:26:35,2056.3
4765,Write,2023-6-29-09:26:35,2055.1
4766,Read,2023-6-29-09:26:36,2055.8
4767,Write,2023-6-29-09:26:36,2056.4
4768,Read,2023-6-29-09:26:36,2056.5
4769,Write,2023-6-29-09:26:36,2055.9
4770,Read,2023-6-29-09:26:37,2055.1
4771,Write,2023-6-29-09:26:37,2055.2
4772,Read,2023-6-29-09:26:37,2055.9
4773,Write,2023-6-29-09:26:37,2056.2
4774,Read,2023-6-29-09:26:38,2055.9
4775,Write,2023-6-29-09:26:38,2055.8
4776,Read,2023-6-29-09:26:38,2055.9
4777,Write,2023-6-29-09:26:38,2055.7
4778,Read,2023-6-29-09:26:39,2055.9
4779,Write,2023-6-29-09:26:39,2056.4
4780,Read,2023-6-29-09:26:39,2056.0
4781,Write,2023-6-29-09:26:39,2056.1
4782,Read,2023-6-29-09:26:39,2055.8
4783,Write,2023-6-29-09:26:40,2055.6
4784,Read,2023-6-29-09:26:40,2055.6
4785,Write,2023-6-29-09:26:40,2055.9
4786,Read,2023-6-29-09:26:40,2056.0
4787,Write,2023-6-29-09:26:41,2056.3
4788,Read,2023-6-29-09:26:41,2055.4
4789,Write,2023-6-29-09:26:41,2055.0
4790,Read,2023-6-29-09:26:41,2056.5
4791,Write,2023-6-29-09:26:42,2056.1
4792,Read,2023-6-29-09:26:42,2055.7
4793,Write,2023-6-29-09:26:42,2055.4
4794,Read,2023-6-29-09:26:42,2055.6
4795,Write,2023-6-29-09:26:43,2055.8
4796,Read,2023-6-29-09:26:43,2055.7
4797,Write,2023-6-29-09:26:43,2055.4
4798,Read,2023-6-29-09:26:43,2056.3
4799,Write,2023-6-29-09:26:44,2055.9
4800,Read,2023-6-29-09:26:44,2055.4
4801,Write,2023-6-29-09:26:44,2055.9
4802,Read,2023-6-29-09:26:44,2055.6
4803,Write,2023-6-29-09:26:45,2055.9
4804,Read,2023-6-29-09:26:45,2056.0
4805,Write,2023-6-29-09:26:45,2055.8
4806,Read,2023-6-29-09:26:45,2056.2
4807,Write,2023-6-29-09:26:46,2056.2
4808,Read,2023-6-29-09:26:46,2055.7
4809,Write,2023-6-29-09:26:46,2055.7
4810,Read,2023-6-29-09:26:46,2055.3
4811,Write,2023-6-29-09:26:47,2055.9
4812,Read,2023-6-29-09:26:47,2056.4
4813,Write,2023-6-29-09:26:47,2055.7
4814,Read,2023-6-29-09:26:47,2056.4
4815,Write,2023-6-29-09:26:48,2055.5
4816,Read,2023-6-29-09:26:48,2055.6
4817,Write,2023-6-29-09:26:48,2056.0
4818,Read,2023-6-29-09:26:48,2056.2
4819,Write,2023-6-29-09:26:49,2055.7
4820,Read,2023-6-29-09:26:49,2055.4
4821,Write,2023-6-29-09:26:49,2056.0
4822,Read,2023-6-29-09:26:49,2055.6
4823,Write,2023-6-29-09:26:50,2055.9
4824,Read,2023-6-29-09:26:50,2055.8
4825,Write,2023-6-29-09:26:50,2055.5
4826,Read,2023-6-29-09:26:50,2056.2
4827,Write,2023-6-29-09:26:51,2056.3
4828,Read,2023-6-29-09:26:51,2056.3
4829,Write,2023-6-29-09:26:51,2055.7
4830,Read,2023-6-29-09:26:51,2055.9
4831,Write,2023-6-29-09:26:52,2056.1
4832,Read,2023-6-29-09:26:52,2055.9
4833,Write,2023-6-29-09:26:52,2055.6
4834,Read,2023-6-29-09:26:52,2055.7
4835,Write,2023-6-29-09:26:53,2055.9
4836,Read,2023-6-29-09:26:53,2056.0
4837,Write,2023-6-29-09:26:53,2055.8
4838,Read,2023-6-29-09:26:53,2056.2
4839,Write,2023-6-29-09:26:54,2056.4
4840,Read,2023-6-29-09:26:54,2056.1
4841,Write,2023-6-29-09:26:54,2056.1
4842,Read,2023-6-29-09:26:54,2055.4
4843,Write,2023-6-29-09:26:55,2055.8
4844,Read,2023-6-29-09:26:55,2056.4
4845,Write,2023-6-29-09:26:55,2055.8
4846,Read,2023-6-29-09:26:55,2056.2
4847,Write,2023-6-29-09:26:56,2055.7
4848,Read,2023-6-29-09:26:56,2055.6
4849,Write,2023-6-29-09:26:56,2056.3
4850,Read,2023-6-29-09:26:56,2055.9
4851,Write,2023-6-29-09:26:57,2055.9
4852,Read,2023-6-29-09:26:57,2055.7
4853,Write,2023-6-29-09:26:57,2056.2
4854,Read,2023-6-29-09:26:57,2056.4
4855,Write,2023-6-29-09:26:58,2055.5
4856,Read,2023-6-29-09:26:58,2055.3
4857,Write,2023-6-29-09:26:58,2055.8
4858,Read,2023-6-29-09:26:58,2057.0
4859,Write,2023-6-29-09:26:59,2056.7
4860,Read,2023-6-29-09:26:59,2055.9
4861,Write,2023-6-29-09:26:59,2055.4
4862,Read,2023-6-29-09:26:59,2055.9
4863,Write,2023-6-29-09:27:00,2056.0
4864,Read,2023-6-29-09:27:00,2055.6
4865,Write,2023-6-29-09:27:00,2056.0
4866,Read,2023-6-29-09:27:00,2055.5
4867,Write,2023-6-29-09:27:01,2055.6
4868,Read,2023-6-29-09:27:01,2056.5
4869,Write,2023-6-29-09:27:01,2055.9
4870,Read,2023-6-29-09:27:01,2055.9
4871,Write,2023-6-29-09:27:02,2056.1
4872,Read,2023-6-29-09:27:02,2055.4
4873,Write,2023-6-29-09:27:02,2056.1
4874,Read,2023-6-29-09:27:02,2056.2
4875,Write,2023-6-29-09:27:03,2055.5
4876,Read,2023-6-29-09:27:03,2056.1
4877,Write,2023-6-29-09:27:03,2056.1
4878,Read,2023-6-29-09:27:03,2055.7
4879,Write,2023-6-29-09:27:04,2055.9
4880,Read,2023-6-29-09:27:04,2056.3
4881,Write,2023-6-29-09:27:04,2056.1
4882,Read,2023-6-29-09:27:04,2056.0
4883,Write,2023-6-29-09:27:05,2056.3
4884,Read,2023-6-29-09:27:05,2056.2
4885,Write,2023-6-29-09:27:05,2055.7
4886,Read,2023-6-29-09:27:05,2056.1
4887,Write,2023-6-29-09:27:06,2056.4
4888,Read,2023-6-29-09:27:06,2055.7
4889,Write,2023-6-29-09:27:06,2055.7
4890,Read,2023-6-29-09:27:06,2056.4
4891,Write,2023-6-29-09:27:07,2055.7
4892,Read,2023-6-29-09:27:07,2055.6
4893,Write,2023-6-29-09:27:07,2056.3
4894,Read,2023-6-29-09:27:07,2056.1
4895,Write,2023-6-29-09:27:08,2056.0
4896,Read,2023-6-29-09:27:08,2055.7
4897,Write,2023-6-29-09:27:08,2055.3
4898,Read,2023-6-29-09:27:08,2056.5
4899,Write,2023-6-29-09:27:09,2055.9
4900,Read,2023-6-29-09:27:09,2055.9
4901,Write,2023-6-29-09:27:09,2056.0
4902,Read,2023-6-29-09:27:09,2055.4
4903,Write,2023-6-29-09:27:10,2055.8
4904,Read,2023-6-29-09:27:10,2056.1
4905,Write,2023-6-29-09:27:10,2056.2
4906,Read,2023-6-29-09:27:10,2056.3
4907,Write,2023-6-29-09:27:11,2055.4
4908,Read,2023-6-29-09:27:11,2055.4
4909,Write,2023-6-29-09:27:11,2055.8
4910,Read,2023-6-29-09:27:11,2056.1
4911,Write,2023-6-29-09:27:12,2056.4
4912,Read,2023-6-29-09:27:12,2056.1
4913,Write,2023-6-29-09:27:12,2055.8
4914,Read,2023-6-29-09:27:12,2055.3
4915,Write,2023-6-29-09:27:13,2055.7
4916,Read,2023-6-29-09:27:13,2056.0
4917,Write,2023-6-29-09:27:13,2055.8
4918,Read,2023-6-29-09:27:13,2056.4
4919,Write,2023-6-29-09:27:14,2056.0
4920,Read,2023-6-29-09:27:14,2055.9
4921,Write,2023-6-29-09:27:14,2055.9
4922,Read,2023-6-29-09:27:14,2055.7
4923,Write,2023-6-29-09:27:15,2056.6
4924,Read,2023-6-29-09:27:15,2056.6
4925,Write,2023-6-29-09:27:15,2055.6
4926,Read,2023-6-29-09:27:15,2055.6
4927,Write,2023-6-29-09:27:16,2055.9
4928,Read,2023-6-29-09:27:16,2056.3
4929,Write,2023-6-29-09:27:16,2056.1
4930,Read,2023-6-29-09:27:16,2056.0
4931,Write,2023-6-29-09:27:17,2056.1
4932,Read,2023-6-29-09:27:17,2055.4
4933,Write,2023-6-29-09:27:17,2055.5
4934,Read,2023-6-29-09:27:17,2055.9
4935,Write,2023-6-29-09:27:18,2055.4
4936,Read,2023-6-29-09:27:18,2055.9
4937,Write,2023-6-29-09:27:18,2056.0
4938,Read,2023-6-29-09:27:18,2056.5
4939,Write,2023-6-29-09:27:19,2055.9
4940,Read,2023-6-29-09:27:19,2055.2
4941,Write,2023-6-29-09:27:19,2056.1
4942,Read,2023-6-29-09:27:19,2056.4
4943,Write,2023-6-29-09:27:20,2056.1
4944,Read,2023-6-29-09:27:20,2056.3
4945,Write,2023-6-29-09:27:20,2055.5
4946,Read,2023-6-29-09:27:20,2055.9
4947,Write,2023-6-29-09:27:21,2056.0
4948,Read,2023-6-29-09:27:21,2056.2
4949,Write,2023-6-29-09:27:21,2056.3
4950,Read,2023-6-29-09:27:21,2055.4
4951,Write,2023-6-29-09:27:22,2055.4
4952,Read,2023-6-29-09:27:22,2056.0
4953,Write,2023-6-29-09:27:22,2056.2
4954,Read,2023-6-29-09:27:22,2055.9
4955,Write,2023-6-29-09:27:23,2055.3
4956,Read,2023-6-29-09:27:23,2056.0
4957,Write,2023-6-29-09:27:23,2055.8
4958,Read,2023-6-29-09:27:23,2056.4
4959,Write,2023-6-29-09:27:24,2056.1
4960,Read,2023-6-29-09:27:24,2056.0
4961,Write,2023-6-29-09:27:24,2056.1
4962,Read,2023-6-29-09:27:24,2055.2
4963,Write,2023-6-29-09:27:25,2055.6
4964,Read,2023-6-29-09:27:25,2056.0
4965,Write,2023-6-29-09:27:25,2055.8
4966,Read,2023-6-29-09:27:25,2055.8
4967,Write,2023-6-29-09:27:26,2055.8
4968,Read,2023-6-29-09:27:26,2056.4
4969,Write,2023-6-29-09:27:26,2056.3
4970,Read,2023-6-29-09:27:26,2056.1
4971,Write,2023-6-29-09:27:27,2055.9
4972,Read,2023-6-29-09:27:27,2055.8
4973,Write,2023-6-29-09:27:27,2056.2
4974,Read,2023-6-29-09:27:27,2055.9
4975,Write,2023-6-29-09:27:28,2055.2
4976,Read,2023-6-29-09:27:28,2055.8
4977,Write,2023-6-29-09:27:28,2056.5
4978,Read,2023-6-29-09:27:28,2055.7
4979,Write,2023-6-29-09:27:29,2055.4
4980,Read,2023-6-29-09:27:29,2055.6
4981,Write,2023-6-29-09:27:29,2056.5
4982,Read,2023-6-29-09:27:29,2056.0
4983,Write,2023-6-29-09:27:30,2055.9
4984,Read,2023-6-29-09:27:30,2056.5
4985,Write,2023-6-29-09:27:30,2056.0
4986,Read,2023-6-29-09:27:30,2055.3
4987,Write,2023-6-29-09:27:31,2055.4
4988,Read,2023-6-29-09:27:31,2056.0
4989,Write,2023-6-29-09:27:31,2056.6
4990,Read,2023-6-29-09:27:31,2056.6
4991,Write,2023-6-29-09:27:32,2056.1
4992,Read,2023-6-29-09:27:32,2055.5
4993,Write,2023-6-29-09:27:32,2056.2
4994,Read,2023-6-29-09:27:32,2056.2
4995,Write,2023-6-29-09:27:33,2055.7
4996,Read,2023-6-29-09:27:33,2056.0
4997,Write,2023-6-29-09:27:33,2056.1
4998,Read,2023-6-29-09:27:33,2056.3
4999,Write,2023-6-29-09:27:34,2055.8
5000,Read,2023-6-29-09:27:34,2056.2
5001,Write,2023-6-29-09:27:34,2056.0
5002,Read,2023-6-29-09:27:34,2055.5
5003,Write,2023-6-29-09:27:35,2056.4
5004,Read,2023-6-29-09:27:35,2055.9
5005,Write,2023-6-29-09:27:35,2055.5
5006,Read,2023-6-29-09:27:35,2055.9
5007,Write,2023-6-29-09:27:36,2055.2
5008,Read,2023-6-29-09:27:36,2056.6
5009,Write,2023-6-29-09:27:36,2056.2
5010,Read,2023-6-29-09:27:36,2056.1
5011,Write,2023-6-29-09:27:37,2055.9
5012,Read,2023-6-29-09:27:37,2054.9
5013,Write,2023-6-29-09:27:37,2055.7
5014,Read,2023-6-29-09:27:37,2056.7
5015,Write,2023-6-29-09:27:38,2056.2
5016,Read,2023-6-29-09:27:38,2055.8
5017,Write,2023-6-29-09:27:38,2055.5
5018,Read,2023-6-29-09:27:38,2056.0
5019,Write,2023-6-29-09:27:38,2056.1
5020,Read,2023-6-29-09:27:39,2056.3
5021,Write,2023-6-29-09:27:39,2056.2
5022,Read,2023-6-29-09:27:39,2055.6
5023,Write,2023-6-29-09:27:39,2055.8
5024,Read,2023-6-29-09:27:40,2055.6
5025,Write,2023-6-29-09:27:40,2055.7
5026,Read,2023-6-29-09:27:40,2055.8
5027,Write,2023-6-29-09:27:40,2055.4
5028,Read,2023-6-29-09:27:41,2055.9
5029,Write,2023-6-29-09:27:41,2056.1
5030,Read,2023-6-29-09:27:41,2056.5
5031,Write,2023-6-29-09:27:41,2056.2
5032,Read,2023-6-29-09:27:42,2055.7
5033,Write,2023-6-29-09:27:42,2055.8
5034,Read,2023-6-29-09:27:42,2055.5
5035,Write,2023-6-29-09:27:42,2056.0
5036,Read,2023-6-29-09:27:43,2056.2
5037,Write,2023-6-29-09:27:43,2055.9
5038,Read,2023-6-29-09:27:43,2055.6
5039,Write,2023-6-29-09:27:43,2055.9
5040,Read,2023-6-29-09:27:44,2055.6
5041,Write,2023-6-29-09:27:44,2055.3
